"","egg","Olim","temp","velocity"
"939",57,0.535106,7,0.06
"940",58,0.540639,7,0.06
"941",59,0.542246,7,0.06
"942",60,0.520584,7,0.06
"943",61,0.522753,7,0.06
"944",62,0.560018,7,0.06
"945",63,0.501293,7,0.06
"946",64,0.563725,7,0.06
"947",65,0.55468,7,0.06
"948",66,0.504235,7,0.06
"949",67,0.542799,7,0.06
"950",68,0.552876,7,0.06
"951",69,0.560494,7,0.06
"952",70,0.523009,7,0.06
"953",71,0.525406,7,0.06
"954",72,0.542796,7,0.06
"955",73,0.563383,7,0.06
"956",74,0.563948,7,0.06
"957",75,0.553392,7,0.06
"958",76,0.573165,7,0.06
"959",77,0.5257,7,0.06
"960",78,0.523657,7,0.06
"961",79,0.569103,7,0.06
"962",80,0.546488,7,0.06
"963",81,0.533951,7,0.06
"964",82,0.503583,7,0.06
"965",83,0.526325,7,0.06
"966",84,0.527422,7,0.06
"967",85,0.564442,7,0.06
"968",86,0.533847,7,0.06
"969",87,0.572951,7,0.06
"970",88,0.579324,7,0.06
"971",89,0.570613,7,0.06
"972",90,0.534969,7,0.06
"973",91,0.548947,7,0.06
"974",92,0.531311,7,0.06
"975",93,0.534004,7,0.06
"976",94,0.531434,7,0.06
"977",95,0.527607,7,0.06
"978",96,0.517967,7,0.06
"979",97,0.553164,7,0.06
"980",98,0.601151,7,0.06
"981",99,0.584125,7,0.06
"982",100,0.589266,7,0.06
"983",101,0.528247,7,0.06
"984",102,0.557814,7,0.06
"985",103,0.498215,7,0.06
